Trial,Condition,Response,RT
1,Easy,1,0.421
2,Easy,1,0.385
3,Hard,1,0.890
4,Hard,0,1.210
5,Easy,1,0.450
6,Hard,1,0.760
7,Easy,1,0.410
8,Hard,1,1.100
9,Easy,1,0.395
10,Hard,0,0.950
11,Easy,1,0.440
12,Hard,1,3.500
13,Easy,0,0.150
14,Hard,1,0.880
15,Easy,1,0.405
16,Hard,0,1.050
17,Easy,1,0.430
18,Hard,1,0.920
19,Easy,1,0.370
20,Hard,1,1.150
21,Easy,1,0.460
22,Hard,0,0.870
23,Easy,1,0.415
24,Hard,1,0.980
25,Easy,1,0.390
26,Hard,1,1.020
27,Easy,1,0.445
28,Hard,0,1.300
29,Easy,1,0.425
30,Hard,1,0.895
31,Easy,1,0.410
32,Hard,1,1.080
33,Easy,1,0.380
34,Hard,0,0.940
35,Easy,1,0.455
36,Hard,1,0.780
37,Easy,1,0.400
38,Hard,1,1.120
39,Easy,1,0.435
40,Hard,0,1.010
41,Easy,1,0.420
42,Hard,1,0.910
43,Easy,1,0.375
44,Hard,1,1.180
45,Easy,1,0.465
46,Hard,0,0.860
47,Easy,1,0.430
48,Hard,1,0.990
49,Easy,1,0.395
50,Hard,1,1.040
